feature,shap_importance
flag,0.12541364295986226
logged_in,0.08730061608144922
same_srv_rate,0.06873326248475453
service,0.0570429036661346
diff_srv_rate,0.05234264230769184
dst_host_srv_count,0.04827604522575696
count,0.034545352643438214
dst_host_same_srv_rate,0.024167555063969358
dst_host_rerror_rate,0.02385673157267286
dst_host_count,0.015903303677720772
dst_host_diff_srv_rate,0.01075177442500655
dst_host_srv_serror_rate,0.006482290535046241
dst_host_serror_rate,0.005613719376878345
srv_rerror_rate,0.004848458330553051
dst_host_srv_rerror_rate,0.003223585701149396
serror_rate,0.0030892001641588483
srv_serror_rate,0.0021152055504813955
rerror_rate,0.0015622583243948443
srv_diff_host_rate,0.0009737581968118354
