feature,mean_importance
is_guest_login,-8.17146485424312e-13
num_access_files,0.0
num_shells,0.0
su_attempted,0.0
root_shell,0.0
urgent,0.0
is_host_login,0.0
num_file_creations,2.479064063000457e-14
srv_rerror_rate,2.9399346576869085e-12
srv_diff_host_rate,3.4588473169148948e-12
land,4.1253797626903204e-12
srv_serror_rate,6.20807729243835e-12
num_failed_logins,6.90528050384588e-12
rerror_rate,9.951563463535456e-12
wrong_fragment,3.026003853126186e-11
num_compromised,4.0822549960449864e-11
num_root,5.2280150782195754e-11
dst_host_diff_srv_rate,5.6155808575039955e-11
same_srv_rate,6.028581338547471e-11
diff_srv_rate,6.812861237417295e-11
dst_host_rerror_rate,1.5303430933239872e-10
duration,1.7519831237575944e-10
dst_host_srv_rerror_rate,2.8095932853469136e-10
flag,3.688165793813592e-10
dst_host_srv_diff_host_rate,4.187578849396131e-10
service,6.636481656437781e-10
dst_host_same_srv_rate,7.139201883482241e-10
dst_host_srv_serror_rate,7.246799610752707e-10
srv_count,8.80895525543322e-10
dst_host_count,9.195389855368128e-10
dst_host_same_src_port_rate,2.0945916385955215e-09
serror_rate,2.09469191407925e-09
dst_host_serror_rate,2.946195541083062e-09
count,3.54152348337096e-09
hot,5.0993652238908e-09
dst_bytes,8.024359308727234e-09
logged_in,1.0045115444161143e-08
level,4.877129437624771e-08
protocol_type,1.118445242315617e-07
dst_host_srv_count,3.809711575156e-06
src_bytes,0.006061455598386955
attack,6.040265267637077
